Time, Bytes
201599600 us, 1000000
201600 ms, 1000000
224799200 us, 2000000
224800 ms, 2000000
232600 ms, 2750649
232998800 us, 3000480
233 s, 3000480
238100 ms, 3000024
238700 ms, 3000024
241198400 us, 4000480
241200 ms, 4000480
242100 ms, 4000504
242300 ms, 4000504
244800 ms, 4000048
245 s, 4000048
247500 ms, 4000072
247700 ms, 4000072
250100 ms, 4000096
250300 ms, 4000096
264398 ms, 5000480
275100 ms, 5000000
278 s, 5000024
278300 ms, 5000024
281200 ms, 5000048
281500 ms, 5000048
285600 ms, 5000072
286200 ms, 5000072
288600 ms, 5000096
289200 ms, 5000096
303 s, 5000120
303300 ms, 5000120
305 s, 5000144
305300 ms, 5000144
310300 ms, 5000168
310700 ms, 5000168
327100 ms, 5000192
327700 ms, 5000192
341600 ms, 5000216
342600 ms, 5000240
343700 ms, 5000240
351600 ms, 5000264
354400 ms, 5000288
354700 ms, 5000288
357600 ms, 5000312
372700 ms, 5000312
375600 ms, 5000336
375900 ms, 5000336
378800 ms, 5000360
379100 ms, 5000360
381600 ms, 5000384
391600 ms, 5000384
406600 ms, 5000408
407200 ms, 5000408
409600 ms, 5000432
410200 ms, 5000432
433800 ms, 5000456
434100 ms, 5000456
437 s, 5000480
437 s, 5000480
437300 ms, 5000000
440200 ms, 5000024
