Time, Bytes
214 s, 1000000
214100 ms, 1000000
248 s, 2000000
248800 ms, 2000000
263100 ms, 2500024
267 s, 3000480
284100 ms, 3750000
286 s, 4000000
286100 ms, 4000000
286400 ms, 4000024
286600 ms, 4000024
288700 ms, 4000048
288900 ms, 4000048
291 s, 4000072
291200 ms, 4000072
293300 ms, 4000096
293400 ms, 4000096
294100 ms, 4000120
306100 ms, 4000144
306500 ms, 4000144
308100 ms, 4000168
308500 ms, 4000168
313500 ms, 4125192
313800 ms, 4125192
320 s, 5000480
320100 ms, 5000000
322800 ms, 5000024
323200 ms, 5000024
339600 ms, 5000048
340200 ms, 5000048
354100 ms, 5000072
355100 ms, 5000096
356200 ms, 5000096
364100 ms, 5000120
366900 ms, 5000144
367200 ms, 5000144
370100 ms, 5000168
385200 ms, 5000168
388100 ms, 5000192
388400 ms, 5000192
391300 ms, 5000216
391600 ms, 5000216
394100 ms, 5000240
404100 ms, 5000240
419100 ms, 5000264
419700 ms, 5000264
422100 ms, 5000288
422700 ms, 5000288
