Time, Bytes
201400 ms, 1000000
201500 ms, 1000000
222800 ms, 2000000
222900 ms, 2000000
229200 ms, 3000000
229300 ms, 3000000
235600 ms, 4000000
235700 ms, 4000000
236 s, 4000024
236600 ms, 4000024
242 s, 4000048
242200 ms, 4000048
244700 ms, 4000072
244900 ms, 4000072
247400 ms, 4000096
247600 ms, 4000096
250 s, 4000120
250200 ms, 4000120
257 s, 5000480
275 s, 5000000
277900 ms, 5000024
278200 ms, 5000024
281100 ms, 5000048
281400 ms, 5000048
285500 ms, 5000072
286100 ms, 5000072
288500 ms, 5000096
289100 ms, 5000096
302900 ms, 5000120
303200 ms, 5000120
304900 ms, 5000144
305200 ms, 5000144
310200 ms, 5000168
310600 ms, 5000168
327 s, 5000192
327600 ms, 5000192
341500 ms, 5000216
342500 ms, 5000240
343600 ms, 5000240
351500 ms, 5000264
354300 ms, 5000288
354600 ms, 5000288
357500 ms, 5000312
372600 ms, 5000312
375500 ms, 5000336
375800 ms, 5000336
378700 ms, 5000360
379 s, 5000360
381500 ms, 5000384
391500 ms, 5000384
406500 ms, 5000408
407100 ms, 5000408
409500 ms, 5000432
410100 ms, 5000432
433700 ms, 5000456
434 s, 5000456
436900 ms, 5000480
436900 ms, 5000480
437200 ms, 5000000
440100 ms, 5000024
