Time, Bytes
201200 ms, 1000000
201300 ms, 1000000
224 s, 2000000
224100 ms, 2000000
231800 ms, 3000000
231900 ms, 3000000
237800 ms, 3000024
238400 ms, 3125024
239600 ms, 4000480
239700 ms, 4000480
241800 ms, 4000024
242 s, 4000024
244500 ms, 4000048
244700 ms, 4000048
247200 ms, 4000072
247400 ms, 4000072
249800 ms, 4000096
250 s, 4000096
262400 ms, 5000480
274800 ms, 5000000
277700 ms, 5000024
278 s, 5000024
280900 ms, 5000048
281200 ms, 5000048
285300 ms, 5000072
285900 ms, 5000072
288300 ms, 5000096
288900 ms, 5000096
302700 ms, 5000120
303 s, 5000120
304700 ms, 5000144
305 s, 5000144
310 s, 5000168
310400 ms, 5000168
326800 ms, 5000192
327400 ms, 5000192
341300 ms, 5000216
342300 ms, 5000240
343400 ms, 5000240
351300 ms, 5000264
354100 ms, 5000288
354400 ms, 5000288
357300 ms, 5000312
372400 ms, 5000312
375300 ms, 5000336
375600 ms, 5000336
378500 ms, 5000360
378800 ms, 5000360
381300 ms, 5000384
391300 ms, 5000384
406300 ms, 5000408
406900 ms, 5000408
409300 ms, 5000432
409900 ms, 5000432
433500 ms, 5000456
433800 ms, 5000456
436700 ms, 5000480
436700 ms, 5000480
437 s, 5000000
439900 ms, 5000024
