Time, Bytes
215621093750 ns, 1000000
215700 ms, 1000000
257400 ms, 1394024
257800 ms, 1419649
259900 ms, 1554048
261300 ms, 1643673
265700 ms, 1925322
265800 ms, 1931697
266867187500 ns, 2000480
285700 ms, 2000000
288300 ms, 2051899
289200 ms, 2109524
293900 ms, 2410298
295700 ms, 2525548
303113281250 ns, 3000480
303200 ms, 3000480
311100 ms, 3000504
311400 ms, 3000504
329400 ms, 3362548
331100 ms, 3471423
335400 ms, 3746572
335700 ms, 3765822
339359375 us, 4000480
339400 ms, 4000480
343700 ms, 4000504
344800 ms, 4000504
350200 ms, 4000528
350800 ms, 4000528
356700 ms, 4000072
357800 ms, 4000072
369400 ms, 4000096
369800 ms, 4000096
374700 ms, 4000120
375100 ms, 4007745
380700 ms, 4366144
381800 ms, 4436519
390605468750 ns, 5000480
390700 ms, 5000480
392900 ms, 5000504
393200 ms, 5000504
395700 ms, 5000528
405700 ms, 5000528
420700 ms, 5000072
421300 ms, 5000072
423700 ms, 5000096
424300 ms, 5000096
447900 ms, 5000120
448200 ms, 5000120
451100 ms, 5000144
451400 ms, 5000144
454300 ms, 5000168
