Time, Bytes
203199600 us, 1000000
203200 ms, 1000000
226399200 us, 2000000
226400 ms, 2000000
234200 ms, 2750649
234598800 us, 3000480
234600 ms, 3000480
239700 ms, 3000024
240300 ms, 3000024
242798400 us, 4000480
242800 ms, 4000480
243700 ms, 4000024
243900 ms, 4000024
246400 ms, 4000048
246600 ms, 4000048
249100 ms, 4000072
249300 ms, 4000072
251700 ms, 4000096
251900 ms, 4000096
265998 ms, 5000480
276700 ms, 5000000
279600 ms, 5000024
279900 ms, 5000024
282800 ms, 5000048
283100 ms, 5000048
287200 ms, 5000072
287800 ms, 5000072
290200 ms, 5000096
290800 ms, 5000096
304600 ms, 5000120
304900 ms, 5000120
306600 ms, 5000144
306900 ms, 5000144
311900 ms, 5000168
312300 ms, 5000168
328700 ms, 5000192
329300 ms, 5000192
343200 ms, 5000216
344200 ms, 5000240
345300 ms, 5000240
353200 ms, 5000264
356 s, 5000288
356300 ms, 5000288
359200 ms, 5000312
374300 ms, 5000312
377200 ms, 5000336
377500 ms, 5000336
380400 ms, 5000360
380700 ms, 5000360
383200 ms, 5000384
393200 ms, 5000384
408200 ms, 5000408
408800 ms, 5000408
411200 ms, 5000432
411800 ms, 5000432
435400 ms, 5000456
435700 ms, 5000456
438600 ms, 5000480
438600 ms, 5000480
438900 ms, 5000000
