Time, Bytes
215998 ms, 1000000
216 s, 1000000
251996 ms, 2000000
252 s, 2000000
265 s, 2000649
272994 ms, 3000480
286 s, 3000875
288 s, 3250899
288500 ms, 3313399
290300 ms, 3538423
291100 ms, 3638423
293992 ms, 4000480
294 s, 4000480
295200 ms, 4000024
295300 ms, 4000024
296 s, 4000048
308 s, 4000072
308400 ms, 4000072
310 s, 4000096
310400 ms, 4000096
315400 ms, 4000120
315700 ms, 4000120
329990 ms, 5000480
330 s, 5000480
341500 ms, 5000024
342100 ms, 5000024
356 s, 5000048
357 s, 5000072
358100 ms, 5000072
366 s, 5000096
368800 ms, 5000120
369100 ms, 5000120
372 s, 5000144
387100 ms, 5000144
390 s, 5000168
390300 ms, 5000168
393200 ms, 5000192
393500 ms, 5000192
396 s, 5000216
406 s, 5000216
421 s, 5000240
421600 ms, 5000240
424 s, 5000264
424600 ms, 5000264
