Time, Bytes
202800 ms, 1000000
202900 ms, 1000000
225600 ms, 2000000
225700 ms, 2000000
233400 ms, 3000000
233500 ms, 3000000
239400 ms, 3000024
240 s, 3125024
241200 ms, 4000480
241300 ms, 4000000
243400 ms, 4000024
243600 ms, 4000024
246100 ms, 4000048
246300 ms, 4000048
248800 ms, 4000072
249 s, 4000072
251400 ms, 4000096
251600 ms, 4000096
264 s, 5000480
276400 ms, 5000000
279300 ms, 5000024
279600 ms, 5000024
282500 ms, 5000048
282800 ms, 5000048
286900 ms, 5000072
287500 ms, 5000072
289900 ms, 5000096
290500 ms, 5000096
304300 ms, 5000120
304600 ms, 5000120
306300 ms, 5000144
306600 ms, 5000144
311600 ms, 5000168
312 s, 5000168
328400 ms, 5000192
329 s, 5000192
342900 ms, 5000216
343900 ms, 5000240
345 s, 5000240
352900 ms, 5000264
355700 ms, 5000288
356 s, 5000288
358900 ms, 5000312
374 s, 5000312
376900 ms, 5000336
377200 ms, 5000336
380100 ms, 5000360
380400 ms, 5000360
382900 ms, 5000384
392900 ms, 5000384
407900 ms, 5000408
408500 ms, 5000408
410900 ms, 5000432
411500 ms, 5000432
435100 ms, 5000456
435400 ms, 5000456
438300 ms, 5000480
438300 ms, 5000480
438600 ms, 5000000
