Time, Bytes
227343750 us, 1000000
227400 ms, 1000000
269100 ms, 1625024
269500 ms, 1625024
271600 ms, 1750048
273 s, 1875048
274687500 us, 2000480
274700 ms, 2000480
276400 ms, 2000024
297400 ms, 2375024
300 s, 2500048
300900 ms, 2500048
305600 ms, 2875072
307031250 us, 3000480
307100 ms, 3000000
322800 ms, 3000024
323100 ms, 3000024
339375 ms, 4000480
339400 ms, 4000480
341800 ms, 4000024
342100 ms, 4000024
347100 ms, 4000048
347400 ms, 4000048
355400 ms, 4000072
356500 ms, 4000072
361900 ms, 4000096
362500 ms, 4000096
368400 ms, 4000120
369500 ms, 4000120
381100 ms, 4625144
381500 ms, 4625144
386400 ms, 4875168
386718750 us, 5000480
398500 ms, 5000000
401400 ms, 5000024
401700 ms, 5000024
404600 ms, 5000048
404900 ms, 5000048
407400 ms, 5000072
417400 ms, 5000072
432400 ms, 5000096
433 s, 5000096
435400 ms, 5000120
436 s, 5000120
