Time, Bytes
207998 ms, 1000000
208 s, 1000000
243996 ms, 2000000
244 s, 2000000
257 s, 2000649
264994 ms, 3000480
278 s, 3000875
280 s, 3250899
280500 ms, 3313399
282300 ms, 3538423
283100 ms, 3638423
285992 ms, 4000480
286 s, 4000480
287200 ms, 4000504
287300 ms, 4000504
288 s, 4000528
300 s, 4000072
300400 ms, 4000072
302 s, 4000096
302400 ms, 4000096
307400 ms, 4000120
307700 ms, 4000120
321990 ms, 5000480
322 s, 5000480
333500 ms, 5000024
334100 ms, 5000024
348 s, 5000048
349 s, 5000072
350100 ms, 5000072
358 s, 5000096
360800 ms, 5000120
361100 ms, 5000120
364 s, 5000144
379100 ms, 5000144
382 s, 5000168
382300 ms, 5000168
385200 ms, 5000192
385500 ms, 5000192
388 s, 5000216
398 s, 5000216
413 s, 5000240
413600 ms, 5000240
416 s, 5000264
416600 ms, 5000264
440200 ms, 5000288
440500 ms, 5000288
443400 ms, 5000312
443700 ms, 5000312
446600 ms, 5000336
